rank,val_acc,epochs,lr,batch_size,lamb,time
1,0.91875,50,0.00966829572656517,32,0,50.073246717453
2,0.9142857142857143,75,0.005683044442129899,64,0,69.86451125144958
3,0.9142857142857143,75,0.003167583682143747,32,0,65.90442848205566
4,0.9135714285714286,75,0.002732017820499874,32,0,63.904555797576904
5,0.9101785714285714,50,0.005220644413168519,64,2.2811780388649846e-05,46.61727261543274
6,0.9097321428571429,50,0.0024551845743474073,32,0,50.59618902206421
7,0.9083928571428571,75,0.0033602885347858236,64,0.0014332707887329088,75.16901588439941
8,0.9074107142857143,50,0.0020916923478553314,32,0,49.80333757400513
9,0.906875,50,0.002237233259256338,32,0.0011986452048720368,50.821497201919556
10,0.9044642857142857,10,0.008279067420275003,32,0,10.277151107788086
11,0.9025892857142858,50,0.005521969304173615,128,0,45.170894622802734
12,0.9020535714285715,75,0.008984678006827715,128,0.004131724523272938,38.19389629364014
13,0.8975892857142858,75,0.005975044332277225,128,0.006556300145998683,41.39489459991455
14,0.8975,20,0.009462661901625551,128,0,18.096200227737427
15,0.8917857142857143,50,0.0006613730605968627,32,4.5551533419390504e-05,50.544699907302856
16,0.8916964285714286,50,0.0013274488960140938,64,0,46.5257031917572
17,0.89125,20,0.0030899995945081696,64,0.00024785917118617224,19.404149293899536
18,0.8907142857142857,20,0.0015668466972045493,32,0,20.177095413208008
19,0.8902678571428572,50,0.001230260691304988,64,0.00042136278015007176,49.78856921195984
20,0.88875,20,0.001403524104104018,32,0.0005067452248456795,20.344088315963745
21,0.8832142857142857,20,0.001993890990897899,64,0,18.922847032546997
22,0.8797321428571429,20,0.0015886003475947446,64,3.151627684174436e-05,19.037585258483887
23,0.8766964285714286,75,0.0001940027300892721,32,0.0009894655449962182,80.60666465759277
24,0.8666964285714286,10,0.0009684470127409908,32,0,10.024686813354492
25,0.8658035714285715,10,0.0009349706375384571,32,0,10.193125486373901
26,0.8620535714285714,20,0.0008081182671056206,64,2.986262902216838e-05,18.986213207244873
27,0.8602678571428571,75,0.00020162482353076322,64,0.0003015136761319784,70.00420022010803
28,0.8590178571428572,20,0.001465996513173857,128,0.0006549541942161916,18.161299228668213
29,0.8545535714285715,10,0.0012064098943209904,64,0.0001624508488409178,9.247180461883545
30,0.8510714285714286,50,0.00021943399378099226,64,0,42.516443729400635
31,0.850625,20,0.00026680711795310186,32,0.002142514361943888,24.20318293571472
32,0.8475,50,0.0003842684326758859,128,0.002404694679151711,46.243754386901855
33,0.8439285714285715,75,0.00023096998363663612,128,0,66.77905869483948
34,0.8300892857142858,20,0.0002902226393206017,64,0,21.056783199310303
35,0.826875,20,0.0005195498322882532,128,0.0016892684180683088,18.13695216178894
36,0.824375,20,0.0004822290179298439,128,2.4619988550426816e-05,18.90148115158081
37,0.8166071428571429,10,0.0007762330541184786,128,0,10.189243793487549
38,0.8029464285714286,10,0.0005550601401168355,128,0.0005524900680702091,9.391700983047485
39,0.7766964285714286,10,0.0002826480312715267,128,0,9.647402048110962
40,0.7747321428571429,10,0.00026855549273095984,128,8.977099618446885e-05,9.39344334602356
